1,page,CLASSIC AN VINTAGE,,,Quantity (oz),,,
1037,176,BUMBOO,VANILLA SYRUP,SYRUP (VANILLA),0.166667,fizz glass. Garnish with a few grates of nutmeg.,"rum, water, sugar, and spices—usually nutmeg,",
1038,176,BUMBOO,HOUSE PEYCHAUD’S BITTERS,BITTERS (CREOLE),0.03125,,sometimes cinnamon—called bumboo (or bumbo).,
1039,176,BUMBOO,ABBOTT’S BITTERS,BITTERS (AROMATIC),0.03125,,This is my take.—BM,
1040,176,BUMBOO,BITTER TRUTH JERRY THOMAS’ BITTERS,BITTERS (AROMATIC),0.03125,,,
1041,,,,,,,,
1042,176,COBRA VERDE,NEISSON RHUM AGRICOLE BLANC,RUM (AGRICOLE BLANC),1.5,"Stir all the ingredients over ice, then strain into a",THOMAS WAUGH 2009,
1043,176,COBRA VERDE,CHAMOMILE-INFUSED OLD OVERHOLT RYE,WHISKEY (RYE),1,coupe. No garnish.,This is an adaptation of the classic,
1044,176,COBRA VERDE,YELLOW CHARTREUSE,CHARTREUSE (YELLOW),0.5,,Diamondback cocktail. The combination of so,
1045,176,COBRA VERDE,GREEN CHARTREUSE,CHARTREUSE (GREEN),0.5,,"many intense ingredients gives it, well, extra",
1046,,,,,,,bite.—TW,
1047,,,,,,,,
1048,,,,,,,,
1049,176,CORTADO,PAMPERO ANIVERSARIO RUM,RUM (SPANISH),2,GARNISH: 1 ORANGE TWIST,THOMAS WAUGH 2009,
1050,176,CORTADO,LEMON HART 151 RUM,RUM (DEMERARA OVERPROOF),0.5,"Stir all the ingredients over ice, then strain into a",This drink doesn’t taste anything like a,
1051,176,CORTADO,COFFEE-INFUSED CARPANO ANTICA FORMULA VERMOUTH,VERMOUTH (SWEET),0.5,coupe. Garnish with the orange twist.,"cortado—it’s more like a mocha, but cortado",
1052,176,CORTADO,MARIE BRIZARD WHITE CRÈME DE CACAO,LIQUEUR (CRÈME DE CACAO),0.25,,sounds better.—TW,
1053,176,CORTADO,DEMERARA SYRUP,SYRUP (DEMERARA),0.0833335,,,
1054,176,CORTADO,BITTERMENS XOCOLATL MOLE BITTERS,BITTERS (CHOCOLATE),0.03125,,,
1055,176,CORTADO,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
1056,,,,,,,,
1057,176,EAGLE-EYE CHERRY,FLOR DE CAÑA 7-YEAR RUM,RUM (SPANISH),2,GARNISH: 1 BRANDIED CHERRY,BRAD FARRAN 2013,
1058,176,EAGLE-EYE CHERRY,CHERRY HEERING,CHERRY HEERING,0.5,Stir all the ingredients (except the orange twist),,
1059,176,EAGLE-EYE CHERRY,ALVEAR FESTIVAL PALE CREAM SHERRY,SHERRY (PALE CREAM),0.5,"over ice, then strain into a port glass. Squeeze the",,
1060,176,EAGLE-EYE CHERRY,LUSTAU EAST INDIA SOLERA SHERRY,SHERRY,0.5,orange twist over the drink and discard. Garnish,,
1061,176,EAGLE-EYE CHERRY,ALCHEMIA CHOCOLATE VODKA,VODKA (CHOCOLATE),0.25,with the cherry.,,
1062,176,EAGLE-EYE CHERRY,CARPANO ANTICA FORMULA VERMOUTH,VERMOUTH (SWEET),0.166667,,,
1063,176,EAGLE-EYE CHERRY,SUZE SAVEUR D’AUTREFOIS LIQUEUR,LIQUEUR (SUZE),0.0833335,,,
1064,176,EAGLE-EYE CHERRY,BITTERCUBE CHERRY BARK AND VANILLA BITTERS,BITTERS (CHERRY BARK AND VANILLA),0.03125,,,
1065,176,EAGLE-EYE CHERRY,ORANGE TWIST,TWIST (ORANGE),1 twist,,,
1066,,,,,,,,
1067,176,EAST INDIA TRADING CO.,APPLETON ESTATE RESERVE RUM,RUM (JAMAICAN),2,"Stir all the ingredients over ice, then strain into a",BRIAN MILLER 2009,
1068,176,EAST INDIA TRADING CO.,LUSTAU EAST INDIA SOLERA SHERRY,SHERRY,0.75,coupe. No garnish.,,
1069,176,EAST INDIA TRADING CO.,RAMAZZOTTI,AMARO (MEDIUM),0.5,,,
1070,176,EAST INDIA TRADING CO.,BITTERMENS XOCOLATL MOLE BITTERS,BITTERS (CHOCOLATE),0.0625,,,
1071,,,,,,,,
1072,178,HADLEY’S TEARS,APPLETON ESTATE V/X RUM,RUM (JAMAICAN),1,GARNISH: 1 ORANGE TWIST,JILLIAN VOSE 2013,
1073,178,HADLEY’S TEARS,BOLS GENEVER,GIN (GENEVER),1,"Stir all the ingredients over ice, then strain into a","One of my favorite after-dinner drinks, this was",
1074,178,HADLEY’S TEARS,GALLIANO RISTRETTO,LIQUEUR (GALLIANO),0.166667,"double rocks glass over 1, large ice cube. Garnish","named after Ernest Hemingway’s first wife,",
1075,178,HADLEY’S TEARS,ST. GEORGE ABSINTHE,ABSINTHE,0.0833335,with the orange twist.,Elizabeth Hadley Richardson.—JV,
1076,178,HADLEY’S TEARS,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.25,,,
1077,178,HADLEY’S TEARS,BITTER TRUTH AROMATIC BITTERS,BITTERS (AROMATIC),0.03125,,,
1078,,,,,,,,
1079,178,HISPANIOLA,SUMMER ROYALE TEA–INFUSED FLOR DE CAÑA WHITE RUM,RUM (SPANISH),2,GARNISH: 1 LIME WHEEL,BRIAN MILLER 2008,
1080,178,HISPANIOLA,LIME JUICE,JUICE (LIME),0.75,"Stir all the ingredients over ice, then strain into a",,
1081,178,HISPANIOLA,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.5,"double rocks glass over 1, large ice cube. Garnish",,
1082,178,HISPANIOLA,GINGER SYRUP,SYRUP (GINGER),0.25,with the lime wheel.,,
1083,,,,,,,,
1084,178,HOWL ON THE HILL,EL DORADO 15-YEAR RUM,RUM (DEMERARA),1.5,"Stir all the ingredients over ice, then strain into a",JESSICA GONZALEZ 2009,
1085,178,HOWL ON THE HILL,SANTA TERESA 1796 RUM,RUM (SPANISH),0.5,coupe. No garnish.,It’s an unwritten rule that the name of any,
1086,178,HOWL ON THE HILL,CARPANO ANTICA FORMULA VERMOUTH,VERMOUTH (SWEET),0.75,,drink we create containing Fernet-Branca needs,
1087,178,HOWL ON THE HILL,FERNET-BRANCA,AMARO (FERNET),0.5,,to reference San Francisco. Fernet and rum,
1088,178,HOWL ON THE HILL,YELLOW CHARTREUSE,CHARTREUSE (YELLOW),0.25,,"usually go great together, especially rum from",
1089,178,HOWL ON THE HILL,VIEUX PONTARLIER ABSINTHE,ABSINTHE,0.03125,,"Venezuela, where it’s common to mix it with",
1090,,,,,,,amaro.—JG,
1091,,,,,,,,
1092,,,,,,,,
1093,178,MIDNIGHT MASS,SCARLET IBIS RUM,RUM (ENGLISH),2,GARNISH: 1 ORANGE TWIST,JOAQUÍN SIMÓ 2009,
1094,178,MIDNIGHT MASS,CARDAMARO,AMARO (MILD),0.75,"Stir all the ingredients over ice, then strain into a",,
1095,178,MIDNIGHT MASS,BÉNÉDICTINE,LIQUEUR (BÉNÉDICTINE),0.25,coupe. Garnish with the orange twist.,,
1096,178,MIDNIGHT MASS,BITTER TRUTH JERRY THOMAS’ BITTERS,BITTERS (AROMATIC),0.03125,,,
1097,,,,,,,,
1098,179,OLD IRONSIDES,SCARLET IBIS RUM,RUM (ENGLISH),1.5,"Stir all the ingredients over ice, then strain into a",BRIAN MILLER 2009,
1099,179,OLD IRONSIDES,CRUZAN BLACK STRAP RUM,RUM (SPANISH),0.5,coupe. No garnish.,Black strap rum is tricky: you can’t use a lot,
1100,179,OLD IRONSIDES,DOLIN ROUGE VERMOUTH,VERMOUTH (SWEET),1,,or it will take over the drink. I almost always,
1101,179,OLD IRONSIDES,LAZZARONI AMARETTO,LIQUEUR (ALMOND),0.166667,,use it as a modifier.—BM,
1102,179,OLD IRONSIDES,FEE BROTHERS WHISKEY BARREL-AGED BITTERS,BITTERS (AROMATIC),0.03125,,,
1103,,,,,,,,
1104,179,PASSING ADEN,VAN OOSTEN BATAVIA ARRACK,BATAVIA ARRACK,2,GARNISH: 1 LEMON TWIST,ALEX DAY 2008,
1105,179,PASSING ADEN,CINNAMON ORANGE TEA–INFUSED SWEET VERMOUTH,VERMOUTH (SWEET),1,"Stir all the ingredients over ice, then strain into a","Batavia arrack, with its intense, funky hogo",
1106,179,PASSING ADEN,DEMERARA SYRUP,SYRUP (DEMERARA),0.25,coupe. Garnish with the lemon twist.,"flavor, can be a challenge to work with. Here I",
1107,179,PASSING ADEN,BITTER TRUTH AROMATIC BITTERS,BITTERS (AROMATIC),0.0625,,use it in a classic punch formula with,
1108,179,PASSING ADEN,CINNAMON STICK,SPICE (CINNAMON),1 stick,,Demerara Syrup. Including a cinnamon stick,
1109,,,,,,,when stirring the drink subtly hightens the,
1110,,,,,,,cinnamon notes in the infused vermouth.—AD,
1111,,,,,,,,
1112,,,,,,,,
1113,179,PIÑA COLADA DECONSTRUCTION,PINEAPPLE-INFUSED FLOR DE CAÑA EXTRA-DRY WHITE RUM,RUM (SPANISH),2,"Stir all the ingredients with ice, then strain into a",JOAQUÍN SIMÓ 2008,
1114,179,PIÑA COLADA DECONSTRUCTION,KALANI RON DE COCO COCONUT LIQUEUR,LIQUEUR (COCONUT),0.166667,coupe. No garnish.,"This is a piña colada on a diet, the kind of",
1115,179,PIÑA COLADA DECONSTRUCTION,COCONUT WATER,WATER (COCONUT),1.5,Puerto Rican Racer,cocktail I’d want poolside on a summer night,
1116,179,PIÑA COLADA DECONSTRUCTION,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.0833335,,"while wearing a white linen suit, rather than a",
1117,179,PIÑA COLADA DECONSTRUCTION,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,drink I’d have on the beach in a tank top and,
1118,,,,,,,swim trunks.—JS,
1119,,,,,,,,
1120,,,,,,,,
1121,179,PUERTO RICAN RACER,RON DEL BARRILITO 3-STAR RUM,RUM (SPANISH),2,"Stir all the ingredients over ice, then strain into a",THOMAS WAUGH 2009,
1122,179,PUERTO RICAN RACER,LAIRD’S BONDED APPLE BRANDY,BRANDY (APPLE),0.5,"double rocks glass over 1, large ice cube. No",This is one of several Death & Co variations on,
1123,179,PUERTO RICAN RACER,YELLOW CHARTREUSE,CHARTREUSE (YELLOW),0.5,garnish.,"the Diamondback (a classic made with rye,",
1124,179,PUERTO RICAN RACER,GRENADINE,SYRUP (GRENADINE),0.166667,,"apple brandy, and Chartreuse), each named",
1125,179,PUERTO RICAN RACER,HOUSE PEYCHAUD’S BITTERS,BITTERS (CREOLE),0.03125,,after a different snake.—TW,
1126,,,,,,,,
1127,,,,,,,,
1128,180,"ROCK, PAPER, SCISSORS",ZACAPA 23-YEAR RUM,RUM (SPANISH),1.5,"Stir all the ingredients over ice, then strain into a",THOMAS WAUGH 2011,
1129,180,"ROCK, PAPER, SCISSORS",CARPANO ANTICA FORMULA VERMOUTH,VERMOUTH (SWEET),0.75,martini glass. No garnish.,A lot of my drinks are inspired by dessert.,
1130,180,"ROCK, PAPER, SCISSORS",OTIMA 10-YEAR TAWNY PORT,WINE (PORT),0.5,,Sometimes an idea comes from a new flavor,
1131,180,"ROCK, PAPER, SCISSORS",MARIE BRIZARD WHITE CRÈME DE CACAO,LIQUEUR (CRÈME DE CACAO),0.4166675,,pairing I discover at the hands of a great,
1132,180,"ROCK, PAPER, SCISSORS",ALCHEMIA CHOCOLATE VODKA,VODKA (CHOCOLATE),0.4166675,,pastry chef; other times it comes from a,
1133,180,"ROCK, PAPER, SCISSORS",BITTERMENS XOCOLATL MOLE BITTERS,BITTERS (CHOCOLATE),0.03125,,childhood favorite. This drink is loosely based,
1134,180,"ROCK, PAPER, SCISSORS",ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,"on the flavors of rocky road ice cream, minus",
1135,,,,,,,the overwhelming sweetness.—TW,
1136,,,,,,,,
1137,,,,,,,,
1138,180,VELVET WARHOL,BANANA CHIP–INFUSED GOSLING’S BLACK SEAL RUM,RUM (ENGLISH),2,"Stir all the ingredients (except the cream) over ice,",THOMAS WAUGH 2008,
1139,180,VELVET WARHOL,MARIE BRIZARD WHITE CRÈME DE CACAO,LIQUEUR (CRÈME DE CACAO),0.25,then strain into a coupe. Float the cream on top.,I like to take the dominant flavor of a spirit,
1140,180,VELVET WARHOL,BITTER TRUTH AROMATIC BITTERS,BITTERS (AROMATIC),0.0625,No garnish.,and amplify it by infusing the booze with the,
1141,180,VELVET WARHOL,HEAVY CREAM,CREAM (HEAVY),1,,"same ingredient. In this case, I boosted the",
1142,,,,,,,Gosling’s banana notes by adding dried banana,
1143,,,,,,,chips.—TW,
1144,,,,,,,,
1145,,AGAVE SHAKEN,,,,,,
1146,,,,,,,,
1147,181,AKA COBBLER,SIMPLE SYRUP,SYRUP (SIMPLE),0.166667,GARNISH: ½ STRAWBERRY,ALEX DAY 2008,
1148,181,AKA COBBLER,LUXARDO MARASCHINO LIQUEUR,LIQUEUR (CHERRY),0.166667,"In a shaker, muddle the simple syrup, maraschino","Like sangria, cobblers were traditionally a",
1149,181,AKA COBBLER,LEMON TWISTS,TWIST (LEMON),2 twists,"liqueur, lemon twists, strawberry, and sugar cube.",means for making cheap wine better by,
1150,181,AKA COBBLER,STRAWBERRY,FRUIT (STRAWBERRY),1 berry,Add the tequilas and sherry and whip (shake with,fortifying it with a spirit and adding muddled,
1151,181,AKA COBBLER,WHITE SUGAR CUBE,SUGAR CUBE,0.25,"a few pieces of crushed ice, just until the",fruit. I took the classic cobbler formula and,
1152,181,AKA COBBLER,SIEMBRA AZUL BLANCO TEQUILA,AGAVE (TEQUILA BLANCO),1.5,ingredients are incorporated). Dump into a double,"removed most of the wine, using just a bit of",
1153,181,AKA COBBLER,JALAPEÑO–INFUSED SIEMBRA AZUL BLANCO TEQUILA,AGAVE (TEQUILA BLANCO),0.5,rocks glass and top with crushed ice. Garnish with,sherry as a nod to the original recipe.—AD,
1154,181,AKA COBBLER,LUSTAU EAST INDIA SOLERA SHERRY,SHERRY,0.5,the half strawberry and serve with a straw.,,
1155,,,,,,,,
1156,181,ALMOND BROTHER,SIETE LEGUAS REPOSADO TEQUILA,AGAVE (TEQUILA REPOSADO),2,"Shake all the ingredients with ice, then strain into",JASON LITTRELL 2011,
1157,181,ALMOND BROTHER,AMARETTO,LIQUEUR (ALMOND),0.25,a coupe. No garnish.,,
1158,181,ALMOND BROTHER,ROTHMAN & WINTER APRICOT LIQUEUR,LIQUEUR (APRICOT),0.166667,,,
1159,181,ALMOND BROTHER,LIME JUICE,JUICE (LIME),0.75,,,
1160,181,ALMOND BROTHER,ORGEAT,SYRUP (ORGEAT),0.25,,,
1161,181,ALMOND BROTHER,MAPLE SYRUP,SYRUP (MAPLE),0.25,,,
1162,,,,,,,,
1163,181,CAMP COUNCIL,SIETE LEGUAS REPOSADO TEQUILA,AGAVE (TEQUILA REPOSADO),1.5,GARNISH: 1 MINT SPRIG,JASON LITTRELL 2011,
1164,181,CAMP COUNCIL,ZIRBENZ STONE PINE LIQUEUR,LIQUEUR (PINE),0.5,"Shake all the ingredients with 3 ice cubes, then",,
1165,181,CAMP COUNCIL,YELLOW CHARTREUSE,CHARTREUSE (YELLOW),0.5,strain into a pilsner glass filled with crushed ice.,,
1166,181,CAMP COUNCIL,PINEAPPLE JUICE,JUICE (PINEAPPLE),0.5,Garnish with the mint sprig.,,
1167,181,CAMP COUNCIL,LEMON JUICE,JUICE (LEMON),0.5,,,
1168,,,,,,,,
1169,182,CHINGON,SIETE LEGUAS REPOSADO TEQUILA,AGAVE (TEQUILA REPOSADO),2,GARNISH: 1 ORANGE TWIST,BRIAN MILLER 2009,
1170,182,CHINGON,BÉNÉDICTINE,LIQUEUR (BÉNÉDICTINE),0.25,"Shake all the ingredients with ice, then strain into",I created this drink as my dedication to all of,
1171,182,CHINGON,ORANGE JUICE,JUICE (ORANGE),0.5,a coupe. Garnish with the orange twist.,"our hardworking barbacks, naming it after the",
1172,182,CHINGON,LIME JUICE,JUICE (LIME),0.5,,Mexican slang for “bad ass.”—BM,
1173,182,CHINGON,ORGEAT,SYRUP (ORGEAT),0.5,,,
1174,,,,,,,,
1175,182,CINDER,SMOKED SALT,SALT,,Rim a coupe with smoked salt. Shake the,PHIL WARD 2008,
1176,182,CINDER,PUEBLO VIEJO REPOSADO TEQUILA,AGAVE (TEQUILA REPOSADO),0.75,"remaining ingredients with ice, then strain into the",,
1177,182,CINDER,JALAPEÑO-INFUSED SIEMBRA AZUL BLANCO TEQUILA,AGAVE (TEQUILA BLANCO),0.75,coupe. No garnish.,,
1178,182,CINDER,DEL MAGUEY VIDA MEZCAL,AGAVE (MEZCAL),0.5,,,
1179,182,CINDER,LIME JUICE,JUICE (LIME),0.75,,,
1180,182,CINDER,SIMPLE SYRUP,SYRUP (SIMPLE),0.75,,,
1181,182,CINDER,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.0625,,,
1182,,,,,,,,
1183,182,CINNAMON GIRL,ORANGE WEDGES,FRUIT (ORANGE),2 wedges,GARNISH: 1 ORANGE CRESCENT,BRAD FARRAN 2013,
1184,182,CINNAMON GIRL,SIETE LEGUAS REPOSADO TEQUILA,AGAVE (TEQUILA REPOSADO),2,"In a shaker, muddle the orange wedges. Add the",,
1185,182,CINNAMON GIRL,SMITH & CROSS RUM,RUM (JAMAICAN),0.25,remaining ingredients and shake with ice. Strain,,
1186,182,CINNAMON GIRL,LIME JUICE,JUICE (LIME),0.75,into a double rocks glass filled with crushed ice.,,
1187,182,CINNAMON GIRL,CINNAMON BARK SYRUP,SYRUP (CINNAMON),0.5,Garnish with the orange crescent and serve with a,,
1188,182,CINNAMON GIRL,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.25,straw.,,
1189,182,CINNAMON GIRL,HOUSE ORANGE BITTERS,BITTERS (ORANGE),0.03125,,,
1190,,,,,,,,
1191,182,DHALGREN,SIEMBRA AZUL BLANCO TEQUILA,AGAVE (TEQUILA BLANCO),2,GARNISH: 1 LIME WHEEL,PHIL WARD 2008,
1192,182,DHALGREN,OTIMA 10-YEAR TAWNY PORT,WINE (PORT),1,"Shake all the ingredients with ice, then strain into",,
1193,182,DHALGREN,LIME JUICE,JUICE (LIME),0.5,a highball glass filled with ice cubes. Garnish with,,
1194,182,DHALGREN,GINGER SYRUP,SYRUP (GINGER),0.5,the lime wheel.,,
1195,182,DHALGREN,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
1196,,,,,,,,
1197,182,DOS BESITOS,EL TESORO REPOSADO TEQUILA,AGAVE (TEQUILA REPOSADO),1,"Shake all the ingredients with ice, then strain into",SCOTT TEAGUE 2013,
1198,182,DOS BESITOS,SIETE LEGUAS BLANCO TEQUILA,AGAVE (TEQUILA BLANCO),1,a coupe. No garnish.,,
1199,182,DOS BESITOS,PINEAPPLE JUICE,JUICE (PINEAPPLE),0.75,,,
1200,182,DOS BESITOS,LIME JUICE,JUICE (LIME),0.5,,,
1201,182,DOS BESITOS,AGAVE SYRUP,SYRUP (AGAVE),0.25,,,
1202,182,DOS BESITOS,GRENADINE,SYRUP (GRENADINE),0.166667,,,
1203,,,,,,,,
1204,183,EL COMPAÑERO,EL TESORO REPOSADO TEQUILA,AGAVE (TEQUILA REPOSADO),0.75,"GARNISH: 1, CILANTRO SPRIG",JASON LITTRELL 2008,
1205,183,EL COMPAÑERO,JALAPEÑO-INFUSED SIEMBRA AZUL BLANCO TEQUILA,AGAVE (TEQUILA BLANCO),0.75,Shake all the ingredients (except the beer) with 3,,
1206,183,EL COMPAÑERO,LIME JUICE,JUICE (LIME),0.75,"ice cubes, then strain into a highball glass filled",,
1207,183,EL COMPAÑERO,AGAVE NECTAR,SYRUP (AGAVE NECTAR),0.166667,with ice cubes. Top with Negra Modelo. Garnish,,
1208,183,EL COMPAÑERO,TABASCO CHIPOTLE SAUCE,OTHER (HOT SAUCE),0.03125,with the cilantro sprig and serve with a straw.,,
1209,183,EL COMPAÑERO,KOSHER SALT,SALT,pinch,,,
1210,183,EL COMPAÑERO,CILANTRO SPRIG,OTHER (CILANTRO),1 sprig,,,
1211,183,EL COMPAÑERO,NEGRA MODELO BEER,BEER (VIENNA LAGER),remainder,,,
1212,,,,,,,,
1213,183,ESPADIN QUEEN,VIEUX PONTARLIER ABSINTHE,ABSINTHE,rinse,Rinse a coupe with absinthe and dump. Shake the,THOMAS WAUGH 2009,ajuster proportions
1214,183,ESPADIN QUEEN,DEL MAGUEY VIDA MEZCAL,AGAVE (MEZCAL),1.5,"remaining ingredients with ice, then strain into the",,
1215,183,ESPADIN QUEEN,ST-GERMAIN,LIQUEUR (ELDERFLOWER),0.25,coupe. No garnish.,,
1216,183,ESPADIN QUEEN,GRAPEFRUIT JUICE,JUICE (GRAPEFRUIT),0.5,,,
1217,183,ESPADIN QUEEN,LIME JUICE,JUICE (LIME),0.5,,,
1218,183,ESPADIN QUEEN,DONN’S MIX #1,MIX (DONN’S MIX #1),0.5,,,
1219,183,ESPADIN QUEEN,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.166667,,,
1220,,,,,,,,
1221,183,FLOR DE JALISCO,SIEMBRA AZUL BLANCO TEQUILA,AGAVE (TEQUILA BLANCO),2,"Shake all the ingredients with ice, then strain into",JOAQUÍN SIMÓ 2009,
1222,183,FLOR DE JALISCO,LEMON JUICE,JUICE (LEMON),0.75,a coupe. No garnish.,"In the 1,98,0s, Julio Bermejo, an owner of",
1223,183,FLOR DE JALISCO,AGAVE NECTAR,SYRUP (AGAVE NECTAR),0.25,,"Tommy’s Mexican Restaurant in San Francisco,",
1224,183,FLOR DE JALISCO,ORANGE MARMALADE,OTHER (MARMALADE (ORANGE)),0.166667,,popularized a margarita sweetened with agave,
1225,,,,,,,syrup. We’ve used his spec for some fun,
1226,,,,,,,"spin-offs, including this version made with",
1227,,,,,,,lemon juice and orange marmalade.—JS,
1228,,,,,,,,
1229,,,,,,,,
1230,183,FRESA BRAVA,STRAWBERRY,FRUIT (STRAWBERRY),1 berry,"In a shaker, gently muddle the strawberry. Add",PHIL WARD 2009,
1231,183,FRESA BRAVA,JALAPEÑO-INFUSED SIEMBRA AZUL BLANCO TEQUILA,AGAVE (TEQUILA BLANCO),2,"the remaining ingredients and shake with ice, then",,
1232,183,FRESA BRAVA,YELLOW CHARTREUSE,CHARTREUSE (YELLOW),0.75,double strain into a coupe. No garnish.,,
1233,183,FRESA BRAVA,LEMON JUICE,JUICE (LEMON),0.75,,,
1234,183,FRESA BRAVA,SIMPLE SYRUP,SYRUP (SIMPLE),0.5,,,
1235,,,,,,,,
1236,183,GILDA COCKTAIL,SIEMBRA AZUL BLANCO TEQUILA,AGAVE (TEQUILA BLANCO),2,GARNISH: 1 LIME WHEEL,BRIAN MILLER 2009,
1237,183,GILDA COCKTAIL,PINEAPPLE JUICE,JUICE (PINEAPPLE),0.5,"Shake all the ingredients with ice, then strain into","The combination of pineapple, lime, and",
1238,183,GILDA COCKTAIL,LIME JUICE,JUICE (LIME),0.5,a coupe. Garnish with the lime wheel.,cinnamon in this cocktail became a popular trio,
1239,183,GILDA COCKTAIL,CINNAMON BARK SYRUP,SYRUP (CINNAMON),0.5,,"of flavors at D&C, spawning other drinks like",
1240,,,,,,,the Tom Bomb and Blown Rose.—BM,
1241,,,,,,,,
1242,,,,,,,,
1243,184,GLANDULA DEL MONO,SIEMBRA AZUL BLANCO TEQUILA,AGAVE (TEQUILA BLANCO),2,"Shake all the ingredients with ice, then strain into",PHIL WARD 2008,
1244,184,GLANDULA DEL MONO,VIEUX PONTARLIER ABSINTHE,ABSINTHE,0.0625,a coupe. No garnish.,I guess it’s pretty obvious that this is a,
1245,184,GLANDULA DEL MONO,LEMON JUICE,JUICE (LEMON),0.5,,tequila-based variation of the Monkey Gland (a,
1246,184,GLANDULA DEL MONO,ORANGE JUICE,JUICE (ORANGE),0.5,,gin-based cocktail). It also happens to be Brian,
1247,184,GLANDULA DEL MONO,GRENADINE,SYRUP (GRENADINE),0.5,,Miller’s favorite cocktail name.—PW,
1248,,,,,,,,
1249,,,,,,,,
1250,184,GOLDEN BEAUTIFUL,SIETE LEGUAS REPOSADO TEQUILA,AGAVE (TEQUILA REPOSADO),2,GARNISH: LIME ZEST,THOMAS WAUGH 2009,
1251,184,GOLDEN BEAUTIFUL,CAMPARI,AMARO (APERITIVO),0.25,Short shake all the ingredients (except the club,,
1252,184,GOLDEN BEAUTIFUL,LIME JUICE,JUICE (LIME),0.75,"soda) with 3 ice cubes, then strain into a snifter",,
1253,184,GOLDEN BEAUTIFUL,VANILLA SYRUP,SYRUP (VANILLA),0.5,"over 1, large ice cube. Top with the club soda.",,
1254,184,GOLDEN BEAUTIFUL,PASSION FRUIT SYRUP,SYRUP (PASSION FRUIT),0.25,Garnish with a fine grating of lime zest over the,,
1255,184,GOLDEN BEAUTIFUL,CLUB SODA,SODA,0.5,top.,,
1256,,,,,,,,
1257,184,HEAD SPIN,CABEZA BLANCO TEQUILA,AGAVE (TEQUILA BLANCO),1.5,GARNISH: 1 LIME WHEEL,JILLIAN VOSE 2013,
1258,184,HEAD SPIN,SANTA TERESA ORANGE LIQUEUR,LIQUEUR (ORANGE),0.5,Shake all the ingredients (except the club soda),"When I started working at the bar, one of my",
1259,184,HEAD SPIN,LIME JUICE,JUICE (LIME),0.75,"with ice, then strain into a large coupe. Top with","favorite drinks was Joaquín’s Maggie Smith,",
1260,184,HEAD SPIN,ORANGE JUICE,JUICE (ORANGE),0.5,the club soda and garnish with the lime wheel.,which is a daiquiri variation made with Santa,
1261,184,HEAD SPIN,KUMQUAT CORDIAL,CORDIAL (KUMQUAT),0.75,,Teresa orange liqueur. I turned it into a,
1262,184,HEAD SPIN,VANILLA SYRUP,SYRUP (VANILLA),0.25,,margarita.—JV,
1263,184,HEAD SPIN,SPLASH OF CLUB SODA,SODA,0.08333333333,,,
1264,,,,,,,,
1265,184,IN-SANDIARY,SPICY SUGAR AND SALT RIM,RIM (SPICY SUGAR AND SALT),,Rim a highball glass with spicy sugar and salt.,JOAQUÍN SIMÓ 2009,
1266,184,IN-SANDIARY,SIEMBRA AZUL BLANCO TEQUILA,AGAVE (TEQUILA BLANCO),2,"Shake the remaining ingredients with ice, then",,
1267,184,IN-SANDIARY,WATERMELON JUICE,JUICE (WATERMELON),2,pour into a highball glass filled with ice cubes.,,
1268,184,IN-SANDIARY,LIME JUICE,JUICE (LIME),0.5,Serve with a straw. No garnish.,,
1269,184,IN-SANDIARY,SIMPLE SYRUP,SYRUP (SIMPLE),0.25,,,
1270,,,,,,,,
1271,184,LA VALENTINA,RASPBERRIES,FRUIT (RASPBERRY),3 berries,"GARNISH: 3, RASPBERRIES ON A COCKTAIL",THOMAS WAUGH 2009,
1272,184,LA VALENTINA,DON JULIO BLANCO TEQUILA,AGAVE (TEQUILA BLANCO),1.5,PICK,"The 1,93,0s-era Blinker cocktail turned me on to",
1273,184,LA VALENTINA,GRAPEFRUIT JUICE,JUICE (GRAPEFRUIT),1,"In a shaker, gently muddle the raspberries. Add","the combination of rye, grapefruit, and",
1274,184,LA VALENTINA,LIME JUICE,JUICE (LIME),0.75,the remaining ingredients (except the beer) and,raspberries. I substituted tequila for the rye and,
1275,184,LA VALENTINA,SIMPLE SYRUP,SYRUP (SIMPLE),0.75,short shake with 3 ice cubes. Double strain into a,lightened it up with wheat beer.—TW,
